Date,Open,High,Low,Close,Adj Close,Volume
2003-12-01,2777.500000,2777.500000,2777.500000,2777.500000,2777.500000,0
2003-12-02,2765.000000,2765.000000,2765.000000,2765.000000,2765.000000,0
2003-12-03,2751.800049,2751.800049,2751.800049,2751.800049,2751.800049,0
2003-12-04,2765.600098,2765.600098,2765.600098,2765.600098,2765.600098,0
2003-12-05,2751.300049,2751.300049,2751.300049,2751.300049,2751.300049,0
2003-12-08,2750.600098,2750.600098,2750.600098,2750.600098,2750.600098,0
2003-12-09,2755.399902,2755.399902,2755.399902,2755.399902,2755.399902,0
2003-12-10,2763.699951,2763.699951,2763.699951,2763.699951,2763.699951,0
2003-12-11,2749.500000,2749.500000,2749.500000,2749.500000,2749.500000,0
2003-12-12,2760.199951,2760.199951,2760.199951,2760.199951,2760.199951,0
2003-12-15,2754.100098,2754.100098,2754.100098,2754.100098,2754.100098,0
2003-12-16,2739.000000,2739.000000,2739.000000,2739.000000,2739.000000,0
2003-12-17,2737.699951,2737.699951,2737.699951,2737.699951,2737.699951,0
2003-12-18,2741.699951,2741.699951,2741.699951,2741.699951,2741.699951,0
2003-12-19,2747.500000,2747.500000,2747.500000,2747.500000,2747.500000,0
2003-12-22,2754.699951,2754.699951,2754.699951,2754.699951,2754.699951,0
2003-12-23,2752.300049,2752.300049,2752.300049,2752.300049,2752.300049,0
2003-12-24,null,null,null,null,null,null
2003-12-25,null,null,null,null,null,null
2003-12-26,null,null,null,null,null,null
2003-12-29,2733.500000,2733.500000,2733.500000,2733.500000,2733.500000,0
2003-12-30,2719.199951,2719.199951,2719.199951,2719.199951,2719.199951,0
2003-12-31,2693.000000,2693.000000,2693.000000,2693.000000,2693.000000,0
2004-01-01,null,null,null,null,null,null
2004-01-02,2725.000000,2725.000000,2724.000000,2724.000000,2724.000000,0
2004-01-05,2718.500000,2718.500000,2718.500000,2718.500000,2718.500000,0
2004-01-06,2713.000000,2713.000000,2713.000000,2713.000000,2713.000000,0
2004-01-07,2693.399902,2693.399902,2693.399902,2693.399902,2693.399902,0
2004-01-08,2702.100098,2702.100098,2702.100098,2702.100098,2702.100098,0
2004-01-09,2697.699951,2697.699951,2697.699951,2697.699951,2697.699951,0
2004-01-12,2714.300049,2714.300049,2714.300049,2714.300049,2714.300049,0
2004-01-13,2714.300049,2714.300049,2714.300049,2714.300049,2714.300049,0
2004-01-14,2692.800049,2692.800049,2692.800049,2692.800049,2692.800049,0
2004-01-15,2682.800049,2682.800049,2682.800049,2682.800049,2682.800049,0
2004-01-16,2680.500000,2680.500000,2680.500000,2680.500000,2680.500000,0
2004-01-19,2678.100098,2678.100098,2678.100098,2678.100098,2678.100098,0
2004-01-20,2677.800049,2677.800049,2677.800049,2677.800049,2677.800049,0
2004-01-21,2676.100098,2676.899902,2676.100098,2676.899902,2676.899902,0
2004-01-22,2687.000000,2687.000000,2687.000000,2687.000000,2687.000000,0
2004-01-23,2698.100098,2698.100098,2698.100098,2698.100098,2698.100098,0
2004-01-26,2710.699951,2710.699951,2710.699951,2710.699951,2710.699951,0
2004-01-27,2692.199951,2692.199951,2692.199951,2692.199951,2692.199951,0
2004-01-28,2674.199951,2674.199951,2674.199951,2674.199951,2674.199951,0
2004-01-29,2690.600098,2690.600098,2690.600098,2690.600098,2690.600098,0
2004-01-30,2688.300049,2688.300049,2688.300049,2688.300049,2688.300049,0
2004-02-02,2678.699951,2678.699951,2678.699951,2678.699951,2678.699951,0
2004-02-03,2701.800049,2701.800049,2701.800049,2701.800049,2701.800049,0
2004-02-04,2701.800049,2701.800049,2701.800049,2701.800049,2701.800049,0
2004-02-05,2690.800049,2690.800049,2690.800049,2690.800049,2690.800049,0
2004-02-06,2698.699951,2698.699951,2698.699951,2698.699951,2698.699951,0
2004-02-09,2703.199951,2715.399902,2703.199951,2715.399902,2715.399902,0
2004-02-10,2682.399902,2682.399902,2682.399902,2682.399902,2682.399902,0
2004-02-11,2683.800049,2683.800049,2683.800049,2683.800049,2683.800049,0
2004-02-12,2682.800049,2682.800049,2682.800049,2682.800049,2682.800049,0
2004-02-13,2674.300049,2674.300049,2674.300049,2674.300049,2674.300049,0
2004-02-16,2666.100098,2666.100098,2666.100098,2666.100098,2666.100098,0
2004-02-17,2661.899902,2661.899902,2661.899902,2661.899902,2661.899902,0
2004-02-18,2667.800049,2667.800049,2667.800049,2667.800049,2667.800049,0
2004-02-19,2638.699951,2638.699951,2638.699951,2638.699951,2638.699951,0
2004-02-20,2648.199951,2648.199951,2648.199951,2648.199951,2648.199951,0
2004-02-23,2629.000000,2629.000000,2629.000000,2629.000000,2629.000000,0
2004-02-24,2597.899902,2597.899902,2597.899902,2597.899902,2597.899902,0
2004-02-25,2611.800049,2611.800049,2611.800049,2611.800049,2611.800049,0
2004-02-26,2601.199951,2601.199951,2601.199951,2601.199951,2601.199951,0
2004-02-27,2641.199951,2641.199951,2641.199951,2641.199951,2641.199951,0
2004-03-01,2625.699951,2625.699951,2625.699951,2625.699951,2625.699951,0
2004-03-02,2603.399902,2603.399902,2603.399902,2603.399902,2603.399902,0
2004-03-03,2612.500000,2612.500000,2612.500000,2612.500000,2612.500000,0
2004-03-04,2612.500000,2612.500000,2612.500000,2612.500000,2612.500000,0
2004-03-05,2625.100098,2625.100098,2625.100098,2625.100098,2625.100098,0
2004-03-08,2614.600098,2614.600098,2614.600098,2614.600098,2614.600098,0
2004-03-09,2622.699951,2622.699951,2622.699951,2622.699951,2622.699951,0
2004-03-10,2622.699951,2622.699951,2622.199951,2622.199951,2622.199951,0
2004-03-11,2629.100098,2629.100098,2629.100098,2629.100098,2629.100098,0
2004-03-12,2624.399902,2624.399902,2624.399902,2624.399902,2624.399902,0
2004-03-15,2615.100098,2615.100098,2615.100098,2615.100098,2615.100098,0
2004-03-16,2590.699951,2590.699951,2590.699951,2590.699951,2590.699951,0
2004-03-17,2591.000000,2591.000000,2591.000000,2591.000000,2591.000000,0
2004-03-18,2611.199951,2611.199951,2611.199951,2611.199951,2611.199951,0
2004-03-19,2609.199951,2609.199951,2609.199951,2609.199951,2609.199951,0
2004-03-22,2612.800049,2612.800049,2612.800049,2612.800049,2612.800049,0
2004-03-23,2617.500000,2617.500000,2617.500000,2617.500000,2617.500000,0
2004-03-24,2607.199951,2607.199951,2607.199951,2607.199951,2607.199951,0
2004-03-25,2616.000000,2616.000000,2616.000000,2616.000000,2616.000000,0
2004-03-26,2614.100098,2614.100098,2614.100098,2614.100098,2614.100098,0
2004-03-29,2620.199951,2620.199951,2620.199951,2620.199951,2620.199951,0
2004-03-30,2624.699951,2624.699951,2624.699951,2624.699951,2624.699951,0
2004-03-31,2620.199951,2620.199951,2620.199951,2620.199951,2620.199951,0
2004-04-01,2621.699951,2621.699951,2621.699951,2621.699951,2621.699951,0
2004-04-02,2606.500000,2606.500000,2606.500000,2606.500000,2606.500000,0
2004-04-05,2605.500000,2605.500000,2605.500000,2605.500000,2605.500000,0
2004-04-06,2610.300049,2610.300049,2610.300049,2610.300049,2610.300049,0
2004-04-07,2601.399902,2601.399902,2601.399902,2601.399902,2601.399902,0
2004-04-08,2599.000000,2599.000000,2599.000000,2599.000000,2599.000000,0
2004-04-09,null,null,null,null,null,null
2004-04-12,null,null,null,null,null,null
2004-04-13,2587.399902,2587.399902,2587.399902,2587.399902,2587.399902,0
2004-04-14,2582.199951,2582.199951,2582.199951,2582.199951,2582.199951,0
2004-04-15,2561.699951,2561.699951,2561.699951,2561.699951,2561.699951,0
2004-04-16,2563.100098,2563.100098,2563.100098,2563.100098,2563.100098,0
2004-04-19,2561.199951,2561.199951,2561.199951,2561.199951,2561.199951,0
2004-04-20,2563.100098,2564.600098,2563.100098,2564.600098,2564.600098,0
2004-04-21,2570.500000,2570.500000,2570.500000,2570.500000,2570.500000,0
2004-04-22,2565.699951,2565.699951,2565.699951,2565.699951,2565.699951,0
2004-04-23,2563.800049,2563.800049,2563.800049,2563.800049,2563.800049,0
2004-04-26,2562.100098,2562.100098,2562.100098,2562.100098,2562.100098,0
2004-04-27,2560.199951,2560.199951,2560.199951,2560.199951,2560.199951,0
2004-04-28,2569.100098,2569.100098,2569.100098,2569.100098,2569.100098,0
2004-04-29,2590.000000,2590.000000,2590.000000,2590.000000,2590.000000,0
2004-04-30,2605.300049,2605.300049,2597.100098,2597.100098,2597.100098,0
2004-05-03,2597.300049,2597.300049,2597.300049,2597.300049,2597.300049,0
2004-05-04,2618.899902,2618.899902,2618.899902,2618.899902,2618.899902,0
2004-05-05,2604.899902,2604.899902,2604.899902,2604.899902,2604.899902,0
2004-05-06,2620.399902,2620.399902,2620.399902,2620.399902,2620.399902,0
2004-05-07,2630.100098,2630.100098,2630.100098,2630.100098,2630.100098,0
2004-05-10,2654.699951,2654.699951,2654.699951,2654.699951,2654.699951,0
2004-05-11,2674.399902,2674.399902,2674.399902,2674.399902,2674.399902,0
2004-05-12,2667.300049,2667.300049,2667.300049,2667.300049,2667.300049,0
2004-05-13,2672.199951,2672.199951,2672.199951,2672.199951,2672.199951,0
2004-05-14,2685.500000,2685.500000,2685.500000,2685.500000,2685.500000,0
2004-05-17,2641.399902,2641.399902,2641.399902,2641.399902,2641.399902,0
2004-05-18,2662.600098,2662.600098,2662.600098,2662.600098,2662.600098,0
2004-05-19,2678.899902,2678.899902,2678.899902,2678.899902,2678.899902,0
2004-05-20,null,null,null,null,null,null
2004-05-21,2709.199951,2711.000000,2709.199951,2711.000000,2711.000000,0
2004-05-24,2707.600098,2707.600098,2707.600098,2707.600098,2707.600098,0
2004-05-25,2708.199951,2708.199951,2708.199951,2708.199951,2708.199951,0
2004-05-26,2690.000000,2690.000000,2690.000000,2690.000000,2690.000000,0
2004-05-27,2708.100098,2708.100098,2708.100098,2708.100098,2708.100098,0
2004-05-28,2673.800049,2673.800049,2673.800049,2673.800049,2673.800049,0
2004-05-31,null,null,null,null,null,null
2004-06-01,2681.199951,2681.199951,2681.199951,2681.199951,2681.199951,0
2004-06-02,2678.699951,2678.699951,2678.699951,2678.699951,2678.699951,0
2004-06-03,2666.699951,2666.699951,2666.699951,2666.699951,2666.699951,0
2004-06-04,2667.699951,2667.699951,2667.699951,2667.699951,2667.699951,0
