Date,Open,High,Low,Close,Adj Close,Volume
2003-12-01,0.580110,0.581940,0.578970,0.581870,0.581870,0
2003-12-02,0.581730,0.582310,0.577330,0.577930,0.577930,0
2003-12-03,0.577870,0.579640,0.577430,0.578670,0.578670,0
2003-12-04,0.578900,0.581970,0.578370,0.581160,0.581160,0
2003-12-05,0.581190,0.581460,0.577000,0.577000,0.577000,0
2003-12-08,0.578200,0.578870,0.575970,0.576630,0.576630,0
2003-12-09,0.576800,0.576830,0.572150,0.572930,0.572930,0
2003-12-10,0.572970,0.576070,0.572080,0.574780,0.574780,0
2003-12-11,0.574710,0.575410,0.572180,0.572670,0.572670,0
2003-12-12,0.572640,0.573300,0.571070,0.572310,0.572310,0
2003-12-15,0.574910,0.575080,0.571890,0.572310,0.572310,0
2003-12-16,0.572340,0.573390,0.569440,0.570060,0.570060,0
2003-12-17,0.570060,0.571300,0.565260,0.566410,0.566410,0
2003-12-18,0.566440,0.566960,0.563440,0.564650,0.564650,0
2003-12-19,0.564590,0.567340,0.564080,0.566510,0.566510,0
2003-12-22,0.567280,0.567990,0.565870,0.566800,0.566800,0
2003-12-23,0.566960,0.567210,0.545140,0.566830,0.566830,0
2003-12-24,0.566960,0.567050,0.562870,0.563190,0.563190,0
2003-12-25,0.563380,0.564240,0.562970,0.563250,0.563250,0
2003-12-26,0.563290,0.564910,0.562970,0.564330,0.564330,0
2003-12-29,0.564210,0.564780,0.562650,0.563540,0.563540,0
2003-12-30,0.563670,0.564050,0.561320,0.562430,0.562430,0
2003-12-31,0.562430,0.562490,0.557290,0.559030,0.559030,0
2004-01-01,0.559030,0.561260,0.559030,0.560160,0.560160,0
2004-01-02,0.560040,0.562050,0.557100,0.557510,0.557510,0
2004-01-05,0.556950,0.557070,0.552390,0.553340,0.553340,0
2004-01-06,0.553280,0.553860,0.547110,0.549060,0.549060,0
2004-01-07,0.549180,0.551660,0.547770,0.550120,0.550120,0
2004-01-08,0.550450,0.552150,0.544780,0.545290,0.545290,0
2004-01-09,0.545260,0.546720,0.540340,0.541100,0.541100,0
