Date,Open,High,Low,Close,Adj Close,Volume
2003-12-01,6.173300,6.173300,6.173300,6.173300,6.173300,0
2003-12-02,6.163400,6.163400,6.163400,6.163400,6.163400,0
2003-12-03,6.171800,6.171800,6.171800,6.171800,6.171800,0
2003-12-04,6.168200,6.168200,6.168200,6.168200,6.168200,0
2003-12-05,6.171000,6.171000,6.171000,6.171000,6.171000,0
2003-12-08,6.172900,6.172900,6.172900,6.172900,6.172900,0
2003-12-09,6.177000,6.177000,6.177000,6.177000,6.177000,0
2003-12-10,6.174400,6.174400,6.174400,6.174400,6.174400,0
2003-12-11,6.171600,6.171600,6.171600,6.171600,6.171600,0
2003-12-12,6.175100,6.175100,6.175100,6.175100,6.175100,0
2003-12-15,6.173000,6.173000,6.173000,6.173000,6.173000,0
2003-12-16,6.172300,6.172300,6.172300,6.172300,6.172300,0
2003-12-17,6.181500,6.181500,6.181500,6.181500,6.181500,0
2003-12-18,6.182800,6.182800,6.182800,6.182800,6.182800,0
2003-12-19,6.171200,6.171200,6.171200,6.171200,6.171200,0
2003-12-22,6.177400,6.177400,6.177400,6.177400,6.177400,0
2003-12-23,6.178600,6.178600,6.178600,6.178600,6.178600,0
2003-12-24,null,null,null,null,null,null
2003-12-25,null,null,null,null,null,null
2003-12-26,null,null,null,null,null,null
2003-12-29,6.180100,6.180100,6.180100,6.180100,6.180100,0
2003-12-30,6.180500,6.180500,6.180500,6.180500,6.180500,0
2003-12-31,6.121700,6.121700,6.121700,6.121700,6.121700,0
2004-01-01,null,null,null,null,null,null
2004-01-02,6.183100,6.183100,6.183100,6.183100,6.183100,0
2004-01-05,6.182000,6.182000,6.182000,6.182000,6.182000,0
2004-01-06,6.178500,6.178500,6.178500,6.178500,6.178500,0
2004-01-07,6.180100,6.180100,6.180100,6.180100,6.180100,0
2004-01-08,6.168300,6.168300,6.168300,6.168300,6.168300,0
2004-01-09,6.185900,6.185900,6.185900,6.185900,6.185900,0
2004-01-12,6.183700,6.183700,6.183700,6.183700,6.183700,0
2004-01-13,6.182600,6.182600,6.182600,6.182600,6.182600,0
2004-01-14,6.180900,6.180900,6.180900,6.180900,6.180900,0
2004-01-15,6.180500,6.180500,6.180500,6.180500,6.180500,0
2004-01-16,6.189300,6.189300,6.189300,6.189300,6.189300,0
2004-01-19,6.170900,6.170900,6.170900,6.170900,6.170900,0
2004-01-20,6.167400,6.167400,6.167400,6.167400,6.167400,0
2004-01-21,6.173200,6.175100,6.173200,6.175100,6.175100,0
2004-01-22,6.183400,6.183400,6.183400,6.183400,6.183400,0
2004-01-23,6.191800,6.191800,6.191800,6.191800,6.191800,0
2004-01-26,6.183700,6.183700,6.183700,6.183700,6.183700,0
2004-01-27,6.174600,6.174600,6.174600,6.174600,6.174600,0
2004-01-28,6.184000,6.184000,6.184000,6.184000,6.184000,0
2004-01-29,6.181800,6.181800,6.181800,6.181800,6.181800,0
2004-01-30,6.168900,6.168900,6.168900,6.168900,6.168900,0
2004-02-02,6.170800,6.170800,6.170800,6.170800,6.170800,0
2004-02-03,6.181000,6.181000,6.181000,6.181000,6.181000,0
2004-02-04,6.181000,6.181000,6.181000,6.181000,6.181000,0
2004-02-05,6.178300,6.178300,6.178300,6.178300,6.178300,0
2004-02-06,6.179700,6.179700,6.179700,6.179700,6.179700,0
2004-02-09,6.184300,6.212600,6.184300,6.212600,6.212600,0
2004-02-10,6.182100,6.182100,6.182100,6.182100,6.182100,0
2004-02-11,6.179400,6.179400,6.179400,6.179400,6.179400,0
2004-02-12,6.183300,6.183300,6.183300,6.183300,6.183300,0
2004-02-13,6.184500,6.184500,6.184500,6.184500,6.184500,0
2004-02-16,6.183400,6.183400,6.183400,6.183400,6.183400,0
2004-02-17,6.187300,6.187300,6.187300,6.187300,6.187300,0
2004-02-18,6.189000,6.189000,6.189000,6.189000,6.189000,0
2004-02-19,6.183000,6.183000,6.183000,6.183000,6.183000,0
2004-02-20,6.179800,6.179800,6.179800,6.179800,6.179800,0
2004-02-23,6.180800,6.180800,6.180800,6.180800,6.180800,0
2004-02-24,6.179800,6.179800,6.179800,6.179800,6.179800,0
